GID_0,NAME_0,GID_1,NAME_1,NL_NAME_1,GID_2,NAME_2,NL_NAME_2,GID_3,NAME_3,VARNAME_3,NL_NAME_3,TYPE_3,ENGTYPE_3,CC_3,HASC_3
IND,India,IND.1_1,Andaman and Nicobar,NA,IND.1.1_1,Nicobar Islands,NA,IND.1.1.1_1,n.a. ( 2304),NA,NA,Taluk,Taluk,NA,NA
IND,India,IND.1_1,Andaman and Nicobar,NA,IND.1.2_1,North and Middle Andaman,NA,IND.1.2.1_1,n.a. ( 2178),NA,NA,Taluk,Taluk,NA,NA
IND,India,IND.1_1,Andaman and Nicobar,NA,IND.1.3_1,South Andaman,NA,IND.1.3.1_1,n.a. ( 2178),NA,NA,Taluk,Taluk,NA,NA
IND,India,IND.2_1,Andhra Pradesh,NA,IND.2.1_1,Anantapur,NA,IND.2.1.1_1,Anantapur,NA,NA,Taluk,Taluk,NA,NA
IND,India,IND.2_1,Andhra Pradesh,NA,IND.2.1_1,Anantapur,NA,IND.2.1.2_1,Dharmavaram,NA,NA,Taluk,Taluk,NA,NA
IND,India,IND.2_1,Andhra Pradesh,NA,IND.2.1_1,Anantapur,NA,IND.2.1.3_1,Gooty,NA,NA,Taluk,Taluk,NA,NA
IND,India,IND.2_1,Andhra Pradesh,NA,IND.2.1_1,Anantapur,NA,IND.2.1.4_1,Hindupur,NA,NA,Taluk,Taluk,NA,NA
IND,India,IND.2_1,Andhra Pradesh,NA,IND.2.1_1,Anantapur,NA,IND.2.1.5_1,Kadiri,NA,NA,Taluk,Taluk,NA,NA
IND,India,IND.2_1,Andhra Pradesh,NA,IND.2.1_1,Anantapur,NA,IND.2.1.6_1,Kalyandurg,NA,NA,Taluk,Taluk,NA,NA
IND,India,IND.2_1,Andhra Pradesh,NA,IND.2.1_1,Anantapur,NA,IND.2.1.7_1,Madakasira,NA,NA,Taluk,Taluk,NA,NA
IND,India,IND.2_1,Andhra Pradesh,NA,IND.2.1_1,Anantapur,NA,IND.2.1.8_1,Penukonda,NA,NA,Taluk,Taluk,NA,NA
IND,India,IND.2_1,Andhra Pradesh,NA,IND.2.1_1,Anantapur,NA,IND.2.1.9_1,Rayadurg,NA,NA,Taluk,Taluk,NA,NA
IND,India,IND.2_1,Andhra Pradesh,NA,IND.2.1_1,Anantapur,NA,IND.2.1.10_1,Tadpatri,NA,NA,Taluk,Taluk,NA,NA
IND,India,IND.2_1,Andhra Pradesh,NA,IND.2.2_1,Chittoor,NA,IND.2.2.1_1,Chandragiri,NA,NA,Taluk,Taluk,NA,NA
IND,India,IND.2_1,Andhra Pradesh,NA,IND.2.2_1,Chittoor,NA,IND.2.2.2_1,Chittoor,NA,NA,Taluk,Taluk,NA,NA
IND,India,IND.2_1,Andhra Pradesh,NA,IND.2.2_1,Chittoor,NA,IND.2.2.3_1,Kuppam,NA,NA,Taluk,Taluk,NA,NA
IND,India,IND.2_1,Andhra Pradesh,NA,IND.2.2_1,Chittoor,NA,IND.2.2.4_1,Madanapalle,NA,NA,Taluk,Taluk,NA,NA
IND,India,IND.2_1,Andhra Pradesh,NA,IND.2.2_1,Chittoor,NA,IND.2.2.5_1,Palmaner,NA,NA,Taluk,Taluk,NA,NA
IND,India,IND.2_1,Andhra Pradesh,NA,IND.2.2_1,Chittoor,NA,IND.2.2.6_1,Punganuru,NA,NA,Taluk,Taluk,NA,NA
IND,India,IND.2_1,Andhra Pradesh,NA,IND.2.2_1,Chittoor,NA,IND.2.2.7_1,Puttur,NA,NA,Taluk,Taluk,NA,NA
